Time (s),Mass (kg),Average mass (kg),Pull force (kg)
11.21980691,62.3686,,3.5244
11.23207879,62.4998,,3.3932
11.24453187,62.6063,,3.2867
11.25670981,62.7367,,3.1563
11.26904202,62.9635,,2.9295
11.2816,63.1897,,2.7033
11.29435802,63.3149,,2.5781
11.30596781,62.8519,,3.0411
11.3181777,62.5959,,3.2971
11.33467388,62.6036,,3.2894
11.34685588,62.8661,,3.0269
11.35916185,63.3858,,2.5072
11.37199497,63.9598,,1.9332
11.38363695,64.4498,,1.4432
11.39612389,64.8844,,1.0086
11.40835786,65.2606,,0.6324
11.42094493,65.7677,,0.1253
11.43312788,66.4595,,-0.5665
11.44914103,67.2776,,-1.3846
11.46145988,68.0665,,-2.1735
11.47385883,68.6127,,-2.7197
11.48607898,68.5005,,-2.6075
11.49868798,67.9337,,-2.0407
11.51072001,67.2393,,-1.3463
11.5230391,66.5418,,-0.6488
11.53542686,65.9967,,-0.1037
11.5477078,65.6535,,0.2395
11.56382084,65.5712,,0.3218
11.57614493,65.6592,,0.2338
11.58883882,65.739,,0.154
11.60076594,65.7282,,0.1648
11.61339688,65.6061,,0.2869
11.62534404,65.4277,,0.4653
11.63770199,65.2139,,0.6791
11.65002489,64.8071,,1.0859
11.66231894,64.6771,,1.2159
11.67465782,64.6354,,1.2576
11.69158983,64.569,,1.324
11.70315814,64.4468,,1.4462
11.71548295,64.1597,,1.7333
11.72827792,63.7509,,2.1421
11.74018097,63.2928,,2.6002
11.75633478,62.8484,,3.0446
11.76897907,62.5242,,3.3688
11.78113484,62.404,,3.489
11.7933588,63.1051,,2.7879
11.80631089,63.5784,,2.3146
11.8181231,63.9499,,1.9431
11.83417082,64.3287,,1.5643
11.84648776,64.6613,,1.2317
11.85900688,64.8649,,1.0281
11.87191582,64.9455,,0.9475
11.88342571,65.0061,,0.8869
11.89575577,65.0756,,0.8174
11.91197705,65.2867,,0.6063
11.92435575,65.6079,,0.2851
11.93675804,66.1211,,-0.2281
11.94896078,66.1566,,-0.2636
11.96132684,66.0419,,-0.1489
11.97508192,65.8127,,0.0803
11.98979282,65.5849,,0.3081
12.0021987,65.4645,,0.4285
12.0144968,65.3935,,0.4995
12.02693796,65.407,,0.486
12.03920293,65.565,,0.328
12.05131078,65.7419,,0.1511
12.06770992,65.8312,,0.0618
12.07994199,65.811,,0.082
12.09235001,65.7366,,0.1564
12.10462189,65.5566,,0.3364
12.11747789,65.299,,0.594
12.1331327,65.1482,,0.7448
12.14548993,65.1675,,0.7255
12.15783787,65.2904,,0.6026
12.17027593,65.4179,,0.4751
12.18243384,65.5781,,0.3149
12.19474792,65.7224,,0.1706
12.21102071,65.6454,,0.2476
